@cmd_mkdir_indirect_call_register_in_if.then16|1|1/1/1/1
@cmd_mkrd_indirect_call_register_in_errout_with_fmt|1|1/1/1/1
@cmd_mkrd_indirect_call_register_in_if.then|1|1/1/1/1
@cmd_mkrd_indirect_call_register_in_if.then12|1|1/1/1/1
@cmd_mkrd_indirect_call_register_in_if.then45|1|1/1/1/1
@cmd_mkrd_indirect_call_register_in_sw.bb17|1|1/1/1/1
@cmd_mkrd_indirect_call_register_in_sw.default|1|1/1/1/1
@cmd_mount_indirect_call_register_in_if.then17|1|1/1/1/1
@cmd_mount_indirect_call_register_in_if.then34|1|1/1/1/1
@cmd_mount_indirect_call_register_in_if.then41|1|1/1/1/1
@cmd_mount_indirect_call_register_in_if.then59|1|1/1/1/1
@cmd_mount_indirect_call_register_in_sw.bb6|1|1/1/1/1
@cmd_mount_indirect_call_register_in_sw.default|1|1/1/1/1
@cmd_mv_indirect_call_register_in_if.then|1|1/1/1/1
@cmd_mv_indirect_call_register_in_if.then13|1|1/1/1/1
@cmd_mv_indirect_call_register_in_if.then6|1|1/1/1/1
@cmd_pidof_indirect_call_register_in_for.body|1|1/1/1/1
@cmd_pidof_indirect_call_register_in_for.end|1|1/1/1/1
@cmd_pidof_indirect_call_register_in_if.then|1|1/1/1/1
@cmd_pkill_indirect_call_register_in_if.then25|1|1/1/1/1
@cmd_pkill_indirect_call_register_in_invalid_arg|1|1/1/1/1
@cmd_pkill_indirect_call_register_in_sw.bb37|1|1/1/1/1
@cmd_pkill_indirect_call_register_in_sw.default|1|1/1/1/1
@cmd_poweroff_indirect_call_register_in_if.end|1|1/1/1/1
@cmd_printf_indirect_call_register_in_if.else43|1|1/1/1/1
@cmd_printf_indirect_call_register_in_if.then10|1|1/1/1/1
@cmd_printf_indirect_call_register_in_if.then19|1|1/1/1/1
@cmd_printf_indirect_call_register_in_if.then28|1|1/1/1/1
@cmd_printf_indirect_call_register_in_sw.bb34|1|1/1/1/1
@cmd_printf_indirect_call_register_in_sw.bb37|1|1/1/1/1
@cmd_printf_indirect_call_register_in_sw.bb40|1|1/1/1/1
@cmd_pwd_indirect_call_register_in_entry|1|1/1/1/1
@cmd_rm_indirect_call_register_in_if.else|1|1/1/1/1
@cmd_rm_indirect_call_register_in_if.then32|1|1/1/1/1
@cmd_rm_indirect_call_register_in_sw.bb2|1|1/1/1/1
@cmd_rm_indirect_call_register_in_sw.default|1|1/1/1/1
@cmd_rmdir_indirect_call_register_in_if.then3|1|1/1/1/1
@cmd_rmmod_indirect_call_register_in_if.then|1|1/1/1/1
@cmd_rmmod_indirect_call_register_in_if.then6|1|1/1/1/1
@cmd_set_indirect_call_register_in_if.then13|1|1/1/1/1
@cmd_set_indirect_call_register_in_if.then29|1|1/1/1/1
@cmd_set_indirect_call_register_in_if.then3|1|1/1/1/1
@cmd_set_indirect_call_register_in_if.then73|1|1/1/1/1
@cmd_sleep_indirect_call_register_in_if.then|1|1/1/1/1
